lemma,roman,english,example_bengali,example_full,flag_reasons,corrected_example,notes
করে,kore,does / makes,সে প্রতিদিন কাজ করে।,সে প্রতিদিন কাজ করে। (se protidine kaj kore — She does work every day.),has_subject_pronoun+ends_with_lemma,,
করা,kora,to do / to make,তুমি কী করা?,তুমি কী করা? (tumi ki kora — What are you doing?),has_subject_pronoun+ends_with_lemma,,
করতে,korte,to do / to make,আমি পড়তে চাই।,আমি পড়তে চাই। (ami porte chai — I want to read.),has_subject_pronoun,,
হবে,hobe,will be / shall be,আগামীকাল ছুটির দিন হবে।,আগামীকাল ছুটির দিন হবে। (agamikal chutir din hobe — Tomorrow will be a holiday.),ends_with_lemma,,
হয়েছে,hoyechhe,has happened / has been,অনেক কিছু পরিবর্তন হয়েছে।,অনেক কিছু পরিবর্তন হয়েছে। (onek kichu pariborten hoyechhe — Many things have changed.),ends_with_lemma,,
হয়ে,hoye,becoming / by,সে একজন ডাক্তার হয়ে গেছে।,সে একজন ডাক্তার হয়ে গেছে। (she ekjon daktar hoye gechhe — He has become a doctor.),has_subject_pronoun,,
ছিল,chhil,was / were,আমরা গতকাল ঘরে ছিলাম।,আমরা গতকাল ঘরে ছিলাম। (amra gotkal ghore chhilam — We were home yesterday.),has_subject_pronoun,,
যায়,jay,goes / goes away,প্রতিদিন সকালে আমি স্কুলে যাই।,প্রতিদিন সকালে আমি স্কুলে যাই। (protidine sakale ami schoole jai — I go to school every morning.),has_subject_pronoun,,
হচ্ছে,hchhche,is happening / is being,বৃষ্টি হচ্ছে।,বৃষ্টি হচ্ছে। (brishti hchhche — It is raining.),ends_with_lemma,,
করেন,koren,do / make (formal),আপনি কী করেন?,আপনি কী করেন? (apni ki koren — What do you do?),has_subject_pronoun+ends_with_lemma,,
আছে,ache,is / are / have,আমাদের একটি বাগান আছে।,আমাদের একটি বাগান আছে। (amader ekti bagan ache — We have a garden.),ends_with_lemma,,
পারে,pare,can / is able to,আমি এটি করতে পারি।,আমি এটি করতে পারি। (ami eți korte pari — I can do this.),has_subject_pronoun,,
নেই,nei,is not / are not,আমার কাছে টাকা নেই।,আমার কাছে টাকা নেই। (amar kachhe taka nei — I don't have money.),ends_with_lemma,,
শুরু,shuru,start / beginning,তিনি কাজ শুরু করেছেন।,তিনি কাজ শুরু করেছেন। (tini kaj shuru korchhen — He has started working.),has_subject_pronoun,,
বলে,bole,says / told / means,সে কী বলে?,সে কী বলে? (she ki bole — What does she say?),has_subject_pronoun+ends_with_lemma,,
রয়েছে,royche,is / exists / is there,এখানে অনেক ফুল রয়েছে।,এখানে অনেক ফুল রয়েছে। (ekhane onek phul royche — There are many flowers here.),ends_with_lemma,,
করেছে,korechhe,has done / has made,আমি কাজ করেছি।,আমি কাজ করেছি। (ami kaj korechhi — I have done the work.),has_subject_pronoun,,
করেছেন,korechen,have done / have made (formal),আপনি কী করেছেন?,আপনি কী করেছেন? (apni ki korechen — What have you done?),has_subject_pronoun+ends_with_lemma,,
দেখা,dekha,to see / to look,আমি তোমাকে দেখা।,আমি তোমাকে দেখা। (ami tomake dekha — I see you.),has_subject_pronoun+ends_with_lemma,,
গেছে,gechhe,has gone / went,সে বাড়িতে গেছে।,সে বাড়িতে গেছে। (she bariте gechhe — She has gone home.),has_subject_pronoun+ends_with_lemma,,
থাকে,thake,stays / remains / keeps,আমি ঘরে থাকি।,আমি ঘরে থাকি। (ami ghore thaki — I stay at home.),has_subject_pronoun,,
করছে,korchhe,is doing / is making,সে এখন কাজ করছে।,সে এখন কাজ করছে। (she ekhon kaj korchhe — He is doing work now.),has_subject_pronoun+ends_with_lemma,,
করবে,korbe,will do / will make,আগামীকাল আমি পড়াশোনা করব।,আগামীকাল আমি পড়াশোনা করব। (agamikal ami porasona korbo — I will study tomorrow.),has_subject_pronoun,,
করি,kori,do / make,আমি কাজ করি।,আমি কাজ করি। (ami kaj kori — I do work.),has_subject_pronoun+ends_with_lemma,,
যাবে,jabe,will go,সে আগামীকাল যাবে।,সে আগামীকাল যাবে। (she agamikalal jabe — He will go tomorrow.),has_subject_pronoun+ends_with_lemma,,
ধরে,dhore,holding / catching / assuming,তিনি হাত ধরে চলেছেন।,তিনি হাত ধরে চলেছেন। (tin hat dhore cholechhen — He is walking while holding hands.),has_subject_pronoun,,
হলো,holo,is / was / became,এটি একটি ভাল দিন হলো।,এটি একটি ভাল দিন হলো। (eti ekti bhal din holo — It was a good day.),ends_with_lemma,,
তৈরি,taiiri,made / created / prepared,আমরা একটি পরিকল্পনা তৈরি করেছি।,আমরা একটি পরিকল্পনা তৈরি করেছি। (amra ekti porikolpna tairi korechi — We made a plan.),has_subject_pronoun,,
যাচ্ছে,jachhche,is going,সে স্কুলে যাচ্ছে।,সে স্কুলে যাচ্ছে। (she shkuley jachhche — She is going to school.),has_subject_pronoun+ends_with_lemma,,
চাই,chai,want / desire,আমি পড়তে চাই।,আমি পড়তে চাই। (ami porhte chai — I want to study.),has_subject_pronoun+ends_with_lemma,,
দেয়,dey,gives,তিনি সাহায্য দেয়।,তিনি সাহায্য দেয়। (tin sahayyo dey — He gives help.),has_subject_pronoun+ends_with_lemma,,
চলে,chole,runs / works / functions,গাড়ি ভালোভাবে চলে।,গাড়ি ভালোভাবে চলে। (gari bhalovabe chale — The car runs well.),ends_with_lemma,,
ছিলেন,chilen,were,তারা সেখানে ছিলেন।,তারা সেখানে ছিলেন। (tara shekhanay chilen — They were there.),has_subject_pronoun+ends_with_lemma,,
দেখতে,dekhte,to see / to look,আমি নাটক দেখতে যেতে চাই।,আমি নাটক দেখতে যেতে চাই। (ami natak dekhte jete chai — I want to go see a play.),has_subject_pronoun,,
বলা,bola,to say / to tell,সে কী বলা তুমি জানো?,সে কী বলা তুমি জানো? (she ki bola tumi jano — Do you know what she said?),has_subject_pronoun,,
করুন,korun,do / make (formal/imperative),এটি করুন।,এটি করুন। (eti korun — Do this.),ends_with_lemma,,
হয়েছিল,hoechilos,had happened / had been,এটি আগে হয়েছিল।,এটি আগে হয়েছিল। (eti age hoechilos — This had happened before.),ends_with_lemma,,
দেখে,dekhe,seeing / watching / looking at,তিনি আমাকে দেখে হাসলেন।,তিনি আমাকে দেখে হাসলেন। (tin amake dekhe haslen — He laughed upon seeing me.),has_subject_pronoun,,
দেওয়া,deowa,to give,আমাকে একটু সময় দেওয়া।,আমাকে একটু সময় দেওয়া। (amake ektu shomoy deoa — Give me a little time.),ends_with_lemma,,
করবেন,korben,will do / shall do,আগামীকাল আমি কাজ করবেন।,আগামীকাল আমি কাজ করবেন। (āgāmīkāl āmi kāj korben — I will do the work tomorrow.),has_subject_pronoun+ends_with_lemma,,
পারেন,pāren,can / able to / capable of,তিনি এটি করতে পারেন।,তিনি এটি করতে পারেন। (tini eti korte pāren — He can do this.),has_subject_pronoun+ends_with_lemma,,
নিতে,nite,to take / taking,আমি দোকান থেকে জিনিস নিতে যাচ্ছি।,আমি দোকান থেকে জিনিস নিতে যাচ্ছি। (āmi dokān theke jinish nite yāchchi — I am going to take things from the shop.),has_subject_pronoun,,
গিয়ে,giye,going / went / after going,সে বাজারে গিয়ে জিনিস কিনেছে।,সে বাজারে গিয়ে জিনিস কিনেছে। (she bāzāre giye jinish kineche — She went to the market and bought things.),has_subject_pronoun,,
দিয়েছে,diyeche,has given / gave,তিনি আমাকে একটি বই দিয়েছেন।,তিনি আমাকে একটি বই দিয়েছেন। (tini āmāke ekti boi diyechen — He has given me a book.),has_subject_pronoun,,
এসে,ese,coming / came,সে এসে আমার সাথে কথা বলেছে।,সে এসে আমার সাথে কথা বলেছে। (she ese āmār sāthe kothā boleche — She came and talked to me.),has_subject_pronoun,,
আসে,āse,comes / happens,প্রতিদিন সকালে তিনি আসেন।,প্রতিদিন সকালে তিনি আসেন। (protidīn sokāle tini āsen — He comes every morning.),has_subject_pronoun,,
থাকবে,thākbe,will be / will remain / will stay,তিনি আগামীকাল এখানে থাকবেন।,তিনি আগামীকাল এখানে থাকবেন। (tini āgāmīkāl ekhāne thākben — He will be here tomorrow.),has_subject_pronoun,,
করছেন,korchen,is doing / are doing,তারা এখন কাজ করছেন।,তারা এখন কাজ করছেন। (tārā ekhon kāj korchen — They are working now.),has_subject_pronoun+ends_with_lemma,,
চায়,chāy,wants / wishes / desires,সে শিক্ষা চায়।,সে শিক্ষা চায়। (she shikshā chāy — She wants education.),has_subject_pronoun+ends_with_lemma,,
তুলে,tule,raising / lifting / picking up,তিনি হাত তুলে প্রশ্ন জিজ্ঞাসা করেছেন।,তিনি হাত তুলে প্রশ্ন জিজ্ঞাসা করেছেন। (tini hāt tule proshn jijjnāsā korechen — He raised his hand and asked a question.),has_subject_pronoun,,
দেন,den,gives / give,দয়া করে আমাকে সাহায্য দেন।,দয়া করে আমাকে সাহায্য দেন। (doyā kore āmāke sāhāyy den — Please help me.),ends_with_lemma,,
ফিরে,fire,returning / coming back,সে কাজ শেষ করে ফিরে এসেছে।,সে কাজ শেষ করে ফিরে এসেছে। (she kāj shesh kore fire eseche — He finished work and came back.),has_subject_pronoun,,
বলেছেন,bolechen,has said / said,তিনি এটি স্পষ্টভাবে বলেছেন।,তিনি এটি স্পষ্টভাবে বলেছেন। (tini eti spashṭbhābe bolechen — He said this clearly.),has_subject_pronoun+ends_with_lemma,,
বলেন,bolen,says / tell / speak,তিনি সবসময় সত্য কথা বলেন।,তিনি সবসময় সত্য কথা বলেন। (tini sobsomoye sotty kothā bolen — He always tells the truth.),has_subject_pronoun+ends_with_lemma,,
থাকা,thaka,to stay / to live / to exist,সে ঢাকায় থাকা।,সে ঢাকায় থাকা। (she dhakay thaka — She lives in Dhaka.),has_subject_pronoun+ends_with_lemma,,
যাওয়া,jaowa,to go,আমি বাজারে যাওয়া।,আমি বাজারে যাওয়া। (ami bajare jaoa — I am going to the market.),has_subject_pronoun+ends_with_lemma,,
পারি,pari,can / am able to,আমি এটা করতে পারি।,আমি এটা করতে পারি। (ami eta korte pari — I can do this.),has_subject_pronoun+ends_with_lemma,,
যান,jan,go / depart / travel,তিনি ঢাকায় যান প্রতিদিন।,তিনি ঢাকায় যান প্রতিদিন। (tin dhakay jan protidini — He goes to Dhaka every day.),has_subject_pronoun,,
করছি,korchi,am doing / are doing,আমি এখন কাজ করছি।,আমি এখন কাজ করছি। (ami ekhon kaj korchi — I am working now.),has_subject_pronoun+ends_with_lemma,,
থাকতে,thakte,to stay / to remain / to keep,তিনি এখানে থাকতে চান।,তিনি এখানে থাকতে চান। (tin ekhane thakte chan — He wants to stay here.),has_subject_pronoun,,
শেখ,shekh,to learn / to teach,আমরা স্কুলে শিখি।,আমরা স্কুলে শিখি। (amra skule shikhi — We learn at school.),has_subject_pronoun,,
জানতে,jante,to know / to learn,আমি এটি জানতে চাই।,আমি এটি জানতে চাই। (ami eta jante chai — I want to know this.),has_subject_pronoun,,
